"What is Multi-Armed Bandit?"	"- Multi-armed bandit techniques extend beyond online learning to simulation optimization<br><br><i>Source: 14th_May_Researcher_Paper_Work_Group</i>"	"concept"
"What do you know about: UCB procedures balance exploration and exploitation for selecting optimal simula...?"	"UCB procedures balance exploration and exploitation for selecting optimal simulation models<br><br><i>Source: 14th_May_Researcher_Paper_Work_Group</i>"	"takeaway"
"What do you know about: Robust selection methods handle input uncertainty by accounting for ambiguous di...?"	"Robust selection methods handle input uncertainty by accounting for ambiguous distribution parameters<br><br><i>Source: 14th_May_Researcher_Paper_Work_Group</i>"	"takeaway"
"What do you know about: Multi-armed bandit techniques extend beyond online learning to simulation optimi...?"	"Multi-armed bandit techniques extend beyond online learning to simulation optimization<br><br><i>Source: 14th_May_Researcher_Paper_Work_Group</i>"	"takeaway"
"What do you know about: Paper discussion groups accelerate understanding of complex methodological paper...?"	"Paper discussion groups accelerate understanding of complex methodological papers<br><br><i>Source: 14th_May_Researcher_Paper_Work_Group</i>"	"takeaway"
"What is Linux Command Line?"	"- Linux file system follows a hierarchical tree structure rooted at / with standard directories<br>- Vim operates in distinct modes (Normal, Insert, Command) each optimized for different editing tasks<br>- Master essential CLI commands (ls, cd, grep, find, chmod) for efficient file and process management<br><br><i>Source: Basics About Linux & Vim Usage</i>"	"concept"
"What is Vim Editor?"	"- Linux file system follows a hierarchical tree structure rooted at / with standard directories<br>- Vim operates in distinct modes (Normal, Insert, Command) each optimized for different editing tasks<br>- Master essential CLI commands (ls, cd, grep, find, chmod) for efficient file and process management<br><br><i>Source: Basics About Linux & Vim Usage</i>"	"concept"
"What do you know about: Linux file system follows a hierarchical tree structure rooted at / with standar...?"	"Linux file system follows a hierarchical tree structure rooted at / with standard directories<br><br><i>Source: Basics About Linux & Vim Usage</i>"	"takeaway"
"What do you know about: Vim operates in distinct modes (Normal, Insert, Command) each optimized for diff...?"	"Vim operates in distinct modes (Normal, Insert, Command) each optimized for different editing tasks<br><br><i>Source: Basics About Linux & Vim Usage</i>"	"takeaway"
"What do you know about: Master essential CLI commands (ls, cd, grep, find, chmod) for efficient file and...?"	"Master essential CLI commands (ls, cd, grep, find, chmod) for efficient file and process management<br><br><i>Source: Basics About Linux & Vim Usage</i>"	"takeaway"
"What do you know about: Shell variables and environment configuration customize the command-line experie...?"	"Shell variables and environment configuration customize the command-line experience<br><br><i>Source: Basics About Linux & Vim Usage</i>"	"takeaway"
"What is Brainteaser Problems?"	"- Backward induction solves sequential decision problems by reasoning from the final state<br>- Information-theoretic reasoning determines minimum measurements needed for weighing problems<br>- Symmetry arguments simplify probability problems by identifying equivalent positions<br><br><i>Source: Collection and Solution of Brainteasers - 1</i>"	"concept"
"What do you know about: Backward induction solves sequential decision problems by reasoning from the fin...?"	"Backward induction solves sequential decision problems by reasoning from the final state<br><br><i>Source: Collection and Solution of Brainteasers - 1</i>"	"takeaway"
"What do you know about: Game theory concepts like Nash equilibrium appear in pirate and tiger/sheep puzz...?"	"Game theory concepts like Nash equilibrium appear in pirate and tiger/sheep puzzles<br><br><i>Source: Collection and Solution of Brainteasers - 1</i>"	"takeaway"
"What do you know about: Information-theoretic reasoning determines minimum measurements needed for weigh...?"	"Information-theoretic reasoning determines minimum measurements needed for weighing problems<br><br><i>Source: Collection and Solution of Brainteasers - 1</i>"	"takeaway"
"What do you know about: Symmetry arguments simplify probability problems by identifying equivalent posit...?"	"Symmetry arguments simplify probability problems by identifying equivalent positions<br><br><i>Source: Collection and Solution of Brainteasers - 1</i>"	"takeaway"
"What is Baking and Cake Design?"	"- Organize design inspiration by category (characters, cream techniques, fruits, structures) for easy reference<br>- Study diverse cake styles to develop a personal aesthetic and expand creative range<br>- Cream technique variety (gradient, texture, piping) is fundamental to cake visual appeal<br><br><i>Source: Cake Inspiration Gallery</i>"	"concept Cake Baking Inspiration"
"What do you know about: Organize design inspiration by category (characters, cream techniques, fruits, s...?"	"Organize design inspiration by category (characters, cream techniques, fruits, structures) for easy reference<br><br><i>Source: Cake Inspiration Gallery</i>"	"takeaway Cake Baking Inspiration"
"What do you know about: Study diverse cake styles to develop a personal aesthetic and expand creative ra...?"	"Study diverse cake styles to develop a personal aesthetic and expand creative range<br><br><i>Source: Cake Inspiration Gallery</i>"	"takeaway Cake Baking Inspiration"
"What do you know about: Cream technique variety (gradient, texture, piping) is fundamental to cake visua...?"	"Cream technique variety (gradient, texture, piping) is fundamental to cake visual appeal<br><br><i>Source: Cake Inspiration Gallery</i>"	"takeaway Cake Baking Inspiration"
"What do you know about: Innovative structures and unconventional shapes differentiate advanced designs f...?"	"Innovative structures and unconventional shapes differentiate advanced designs from standard ones<br><br><i>Source: Cake Inspiration Gallery</i>"	"takeaway Cake Baking Inspiration"
"What is Data Security?"	"- XSS attacks are mitigated through proper output encoding and Content Security Policy headers<br><br><i>Source: Data & Cyber Security Training Notes</i>"	"concept"
"What do you know about: SQL injection is prevented by using parameterized queries instead of string conc...?"	"SQL injection is prevented by using parameterized queries instead of string concatenation<br><br><i>Source: Data & Cyber Security Training Notes</i>"	"takeaway"
"What do you know about: XSS attacks are mitigated through proper output encoding and Content Security Po...?"	"XSS attacks are mitigated through proper output encoding and Content Security Policy headers<br><br><i>Source: Data & Cyber Security Training Notes</i>"	"takeaway"
"What do you know about: OS command injection requires allowlist validation on any user input passed to s...?"	"OS command injection requires allowlist validation on any user input passed to system commands<br><br><i>Source: Data & Cyber Security Training Notes</i>"	"takeaway"
"What do you know about: Weak session tokens from predictable generation algorithms enable session hijack...?"	"Weak session tokens from predictable generation algorithms enable session hijacking attacks<br><br><i>Source: Data & Cyber Security Training Notes</i>"	"takeaway"
"What is Fault Tolerance?"	"- Distinguish between faults and failures when designing resilient systems<br>- Use redundancy at every level (hardware, software, process) to tolerate faults<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"concept DDIA"
"What is Scalability?"	"- Design systems around three pillars: reliability, scalability, and maintainability<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"concept DDIA"
"What is Replication?"	"- Distinguish between faults and failures when designing resilient systems<br>- Use redundancy at every level (hardware, software, process) to tolerate faults<br>- Minimize opportunities for human error through good abstractions and sandbox environments<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"concept DDIA"
"Explain: Distinguish between faults and failures when designing resilient systems"	"Distinguish between faults and failures when designing resilient systems<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"takeaway DDIA"
"Explain: Use redundancy at every level (hardware, software, process) to tolerate faults"	"Use redundancy at every level (hardware, software, process) to tolerate faults<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"takeaway DDIA"
"What do you know about: Minimize opportunities for human error through good abstractions and sandbox env...?"	"Minimize opportunities for human error through good abstractions and sandbox environments<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"takeaway DDIA"
"What do you know about: Design systems around three pillars: reliability, scalability, and maintainabili...?"	"Design systems around three pillars: reliability, scalability, and maintainability<br><br><i>Source: Designing Data-Intensive-Applications-Note-1</i>"	"takeaway DDIA"
"What is Replication?"	"- Use semi-synchronous replication to balance durability and availability<br>- Automate follower setup using consistent snapshots and replication log positions<br>- Choose chain replication (CRAQ) when strong consistency with high throughput is needed<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"concept DDIA"
"What is Leader-Based Replication?"	"- Use semi-synchronous replication to balance durability and availability<br>- Automate follower setup using consistent snapshots and replication log positions<br>- Choose chain replication (CRAQ) when strong consistency with high throughput is needed<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"concept DDIA"
"What is Consistency?"	"- Choose chain replication (CRAQ) when strong consistency with high throughput is needed<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"concept DDIA"
"What is Split Brain?"	"- Guard against split brain during failover by ensuring only one node acts as leader<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"concept DDIA"
"What is Fault Tolerance?"	"- Use semi-synchronous replication to balance durability and availability<br>- Automate follower setup using consistent snapshots and replication log positions<br>- Guard against split brain during failover by ensuring only one node acts as leader<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"concept DDIA"
"Explain: Use semi-synchronous replication to balance durability and availability"	"Use semi-synchronous replication to balance durability and availability<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"takeaway DDIA"
"What do you know about: Automate follower setup using consistent snapshots and replication log positions...?"	"Automate follower setup using consistent snapshots and replication log positions<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"takeaway DDIA"
"What do you know about: Guard against split brain during failover by ensuring only one node acts as lead...?"	"Guard against split brain during failover by ensuring only one node acts as leader<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"takeaway DDIA"
"What do you know about: Choose chain replication (CRAQ) when strong consistency with high throughput is ...?"	"Choose chain replication (CRAQ) when strong consistency with high throughput is needed<br><br><i>Source: Designing Data-Intensive-Applications-Note-10</i>"	"takeaway DDIA"
"What is Replication?"	"- Prefer logical (row-based) replication over WAL shipping to decouple from storage engine internals<br>- Use logical replication to enable zero-downtime database version upgrades via follower-then-failover<br>- Reserve trigger-based replication for cases needing application-level conflict resolution or subset replication<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"concept DDIA"
"What is Leader-Based Replication?"	"- Prefer logical (row-based) replication over WAL shipping to decouple from storage engine internals<br>- Use logical replication to enable zero-downtime database version upgrades via follower-then-failover<br>- Reserve trigger-based replication for cases needing application-level conflict resolution or subset replication<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"concept DDIA"
"What is Change Data Capture?"	"- Use logical replication to enable zero-downtime database version upgrades via follower-then-failover<br>- Apply change data capture when feeding data warehouses or building custom secondary indexes<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"concept DDIA"
"What do you know about: Prefer logical (row-based) replication over WAL shipping to decouple from storag...?"	"Prefer logical (row-based) replication over WAL shipping to decouple from storage engine internals<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"takeaway DDIA"
"What do you know about: Use logical replication to enable zero-downtime database version upgrades via fo...?"	"Use logical replication to enable zero-downtime database version upgrades via follower-then-failover<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"takeaway DDIA"
"What do you know about: Apply change data capture when feeding data warehouses or building custom second...?"	"Apply change data capture when feeding data warehouses or building custom secondary indexes<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"takeaway DDIA"
"What do you know about: Reserve trigger-based replication for cases needing application-level conflict r...?"	"Reserve trigger-based replication for cases needing application-level conflict resolution or subset replication<br><br><i>Source: Designing Data-Intensive-Applications-Note-11</i>"	"takeaway DDIA"
"What is Eventual Consistency?"	"- Implement read-after-write consistency by routing user reads to the leader for recently modified data<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"concept DDIA"
"What is Multi-Leader Replication?"	"- Apply conflict avoidance strategies before resorting to conflict resolution in multi-leader setups<br>- Consider CRDTs for automatic conflict resolution when multi-leader replication is unavoidable<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"concept DDIA"
"What is Consistency?"	"- Implement read-after-write consistency by routing user reads to the leader for recently modified data<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"concept DDIA"
"What is Replication?"	"- Consider CRDTs for automatic conflict resolution when multi-leader replication is unavoidable<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"concept DDIA"
"What do you know about: Implement read-after-write consistency by routing user reads to the leader for r...?"	"Implement read-after-write consistency by routing user reads to the leader for recently modified data<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"takeaway DDIA"
"Explain: Use monotonic reads to prevent users from seeing data go backward in time"	"Use monotonic reads to prevent users from seeing data go backward in time<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"takeaway DDIA"
"What do you know about: Apply conflict avoidance strategies before resorting to conflict resolution in m...?"	"Apply conflict avoidance strategies before resorting to conflict resolution in multi-leader setups<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"takeaway DDIA"
"What do you know about: Consider CRDTs for automatic conflict resolution when multi-leader replication i...?"	"Consider CRDTs for automatic conflict resolution when multi-leader replication is unavoidable<br><br><i>Source: Designing Data-Intensive-Applications-Note-12</i>"	"takeaway DDIA"
"What is Leaderless Replication?"	"- Set quorum parameters w + r > n to guarantee reading the most recent write in leaderless systems<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"concept DDIA"
"What is Eventual Consistency?"	"- Use read repair for frequently accessed data and anti-entropy for background consistency<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"concept DDIA"
"What is Consistency?"	"- Use read repair for frequently accessed data and anti-entropy for background consistency<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"concept DDIA"
"What is Replication?"	"- Set quorum parameters w + r > n to guarantee reading the most recent write in leaderless systems<br>- Use read repair for frequently accessed data and anti-entropy for background consistency<br>- Apply version vectors to track causality and detect concurrent writes across replicas<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"concept DDIA"
"What do you know about: Set quorum parameters w + r > n to guarantee reading the most recent write in le...?"	"Set quorum parameters w + r > n to guarantee reading the most recent write in leaderless systems<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"takeaway DDIA"
"What do you know about: Use read repair for frequently accessed data and anti-entropy for background con...?"	"Use read repair for frequently accessed data and anti-entropy for background consistency<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"takeaway DDIA"
"What do you know about: Apply version vectors to track causality and detect concurrent writes across rep...?"	"Apply version vectors to track causality and detect concurrent writes across replicas<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"takeaway DDIA"
"Explain: Prefer last-write-wins only when data loss from concurrent writes is acceptable"	"Prefer last-write-wins only when data loss from concurrent writes is acceptable<br><br><i>Source: Designing Data-Intensive-Applications-Note-13</i>"	"takeaway DDIA"
"What is Partitioning?"	"- Prefer dynamic partitioning over fixed partitioning when data volume is unpredictable<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"concept DDIA"
"What is Database Indexes?"	"- Choose between document-partitioned (local) and term-partitioned (global) secondary indexes based on read/write patterns<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"concept DDIA"
"What is Replication?"	"- Partition by hash of key to distribute load evenly and avoid hot spots<br>- Use compound primary keys to enable efficient range queries within a single partition<br>- Choose between document-partitioned (local) and term-partitioned (global) secondary indexes based on read/write patterns<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"concept DDIA"
"Explain: Partition by hash of key to distribute load evenly and avoid hot spots"	"Partition by hash of key to distribute load evenly and avoid hot spots<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"takeaway DDIA"
"What do you know about: Use compound primary keys to enable efficient range queries within a single part...?"	"Use compound primary keys to enable efficient range queries within a single partition<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"takeaway DDIA"
"What do you know about: Choose between document-partitioned (local) and term-partitioned (global) second...?"	"Choose between document-partitioned (local) and term-partitioned (global) secondary indexes based on read/write patterns<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"takeaway DDIA"
"What do you know about: Prefer dynamic partitioning over fixed partitioning when data volume is unpredic...?"	"Prefer dynamic partitioning over fixed partitioning when data volume is unpredictable<br><br><i>Source: Designing Data-Intensive-Applications-Note-14</i>"	"takeaway DDIA"
"What is ACID?"	"- Use snapshot isolation (MVCC) as the default isolation level for most read-heavy workloads<br>- Prevent lost updates with atomic compare-and-set operations rather than application-level read-modify-write<br>- Apply serializable snapshot isolation (SSI) when you need serializability without the performance cost of 2PL<br><br><i>Source: Designing Data-Intensive-Applications-Note-15</i>"	"concept DDIA"
"What is BASE?"	"- Use snapshot isolation (MVCC) as the default isolation level for most read-heavy workloads<br>- Prevent lost updates with atomic compare-and-set operations rather than application-level read-modify-write<br>- Apply serializable snapshot isolation (SSI) when you need serializability without the performance cost of 2PL<br><br><i>Source: Designing Data-Intensive-Applications-Note-15</i>"	"concept DDIA"
"What is Transaction Isolation?"	"- Use snapshot isolation (MVCC) as the default isolation level for most read-heavy workloads<br>- Apply serializable snapshot isolation (SSI) when you need serializability without the performance cost of 2PL<br>- Watch for write skew and phantom reads which are not prevented by snapshot isolation alone<br><br><i>Source: Designing Data-Intensive-Applications-Note-15</i>"	"concept DDIA"
